subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
A,GARBAGE,339.8,0.780,8,-233.7,-339.8,1.728,1.072,0.240,3,NONE
A,GARBAGE,93.4,0.655,0,93.4,-93.3,1.370,1.080,0.157,1,NONE
A,GARBAGE,91.2,0.829,0,46.7,91.2,1.456,1.090,0.251,2,NONE
A,GARBAGE,99.5,1.106,0,-42.6,-99.5,1.479,1.102,0.219,2,NONE
A,GARBAGE,78.0,0.691,0,58.7,-78.0,1.542,1.118,0.291,2,NONE
A,PINCH,350.6,0.779,5,350.6,193.2,3.718,1.397,0.584,2,PINCH
A,PINCH,385.9,1.076,2,-385.9,-195.7,4.355,1.386,0.601,4,PINCH
A,PINCH,396.8,0.793,8,396.8,277.9,3.791,1.345,0.585,3,PINCH
A,PINCH,306.8,0.738,6,205.8,209.9,3.085,1.322,0.457,4,PINCH
A,PINCH,423.8,0.727,14,-423.8,266.2,3.841,1.404,0.621,3,PINCH
A,PINCH,520.1,0.779,18,520.1,286.2,4.062,1.423,0.692,2,PINCH
A,PINCH,332.9,0.960,7,216.8,129.8,2.935,1.395,0.449,4,PINCH
A,PINCH,340.3,0.622,6,340.3,228.9,3.119,1.361,0.488,4,PINCH
A,PINCH,412.6,1.034,8,412.6,136.2,2.751,1.287,0.438,2,PINCH
A,PINCH,525.5,0.916,12,525.5,200.1,3.081,1.372,0.460,3,PINCH
A,PINCH,476.1,1.058,16,476.1,136.9,2.824,1.271,0.475,4,PINCH
A,PINCH,396.8,0.699,10,396.8,175.1,2.451,1.313,0.373,5,NONE
A,PINCH,545.5,1.321,6,545.5,152.9,3.191,1.353,0.434,3,PINCH
A,PINCH,345.4,0.707,8,-345.4,148.0,2.798,1.322,0.444,5,PINCH
A,PINCH,471.2,0.760,6,380.8,239.3,3.072,1.353,0.479,2,PINCH
A,PINCH,580.8,1.029,13,580.8,254.2,3.218,1.487,0.453,2,PINCH
A,PINCH,303.2,0.774,6,195.1,196.8,2.275,1.307,0.425,3,PINCH
A,PINCH,252.5,0.584,6,218.7,213.4,2.413,1.356,0.362,2,NONE
A,PINCH,582.2,0.785,13,582.2,277.6,3.959,1.472,0.688,5,PINCH
A,PINCH,275.5,0.662,6,275.5,187.3,2.817,1.436,0.425,7,PINCH
A,PINCH,529.8,0.736,14,529.8,368.2,3.520,1.472,0.505,5,PINCH
A,PINCH,477.4,0.924,10,245.1,271.4,3.267,1.543,0.522,5,PINCH
A,PINCH,453.7,0.975,13,453.7,205.9,3.039,1.416,0.482,3,PINCH
A,PINCH,389.9,0.818,6,389.9,201.6,3.430,1.501,0.572,5,PINCH
A,PINCH,447.8,0.825,10,447.8,253.5,3.159,1.451,0.552,2,PINCH
A,PINCH,579.5,0.743,13,579.5,336.1,5.144,1.547,0.787,4,PINCH
A,PINCH,549.6,0.731,10,393.5,358.4,4.155,1.552,0.670,2,PINCH
A,PINCH,411.3,0.873,7,217.6,253.5,2.648,1.132,0.369,5,NONE
A,PINCH,521.3,1.886,2,521.3,60.9,2.985,1.300,0.375,2,NONE
A,PINCH,373.0,0.744,18,373.0,208.4,3.420,1.386,0.567,3,PINCH
A,PINCH,719.1,0.760,16,-538.6,408.2,3.629,1.542,0.579,1,TWIST
A,TWIST,798.8,0.637,35,502.9,-798.8,2.840,1.240,0.519,3,TWIST
A,TWIST,782.4,0.649,29,522.4,-682.5,2.351,1.279,0.404,4,TWIST
A,TWIST,798.1,0.604,33,539.0,-781.5,2.324,1.272,0.419,4,TWIST
A,TWIST,754.1,0.556,36,617.3,-739.4,2.575,1.331,0.447,3,TWIST
A,TWIST,821.2,0.588,34,586.5,-821.2,2.755,1.353,0.545,3,TWIST
A,TWIST,944.6,0.677,39,609.1,-786.2,2.124,1.336,0.456,4,TWIST
A,TWIST,837.5,0.535,36,772.9,-792.6,3.017,1.393,0.588,3,TWIST
A,TWIST,721.5,0.581,31,553.1,-721.5,2.840,1.285,0.554,3,TWIST
A,TWIST,820.9,0.589,36,701.6,-692.4,2.597,1.285,0.542,3,TWIST
A,TWIST,843.9,0.625,29,673.3,-675.9,2.732,1.350,0.571,2,TWIST
A,TWIST,856.0,0.669,38,586.8,-693.3,3.009,1.354,0.571,4,TWIST
A,TWIST,762.7,0.569,35,586.1,-762.7,3.575,1.302,0.630,4,TWIST
A,TWIST,821.2,0.559,36,741.8,-726.6,3.481,1.344,0.661,3,TWIST
A,TWIST,814.4,0.669,30,456.4,-760.3,2.295,1.177,0.399,5,TWIST
